Region,Org Code,Provider name,Modality, Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Year 
 Y56 , RJ6 , Croydon Health Services NHS Trust , Diagnostic Ultrasonography ," 4,225 "," 4,650 "," 4,325 "," 4,835 "," 4,335 "," 4,325 "," 4,665 "," 4,595 "," 4,380 "," 4,915 "," 4,350 "," 3,375 "," 52,965 "
 Y56 , RJ6 , Croydon Health Services NHS Trust , Fluoroscopy , 310 , 335 , 305 , 280 , 200 , 225 , 215 , 240 , 200 , 185 , 200 , 175 ," 2,875 "
 Y56 , RJ6 , Croydon Health Services NHS Trust , Magnetic Resonance Imaging ," 1,590 "," 1,540 "," 1,485 "," 1,620 "," 1,750 "," 1,580 "," 1,580 "," 1,605 "," 1,590 "," 1,580 "," 1,660 "," 1,380 "," 18,960 "
 Y56 , RJ6 , Croydon Health Services NHS Trust , Plain Radiography ," 10,975 "," 11,630 "," 10,675 "," 11,820 "," 10,275 "," 10,950 "," 11,750 "," 11,445 "," 10,820 "," 12,435 "," 10,805 "," 8,875 "," 132,460 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Computerized Axial Tomography ," 3,000 "," 3,210 "," 2,925 "," 3,275 "," 3,070 "," 3,010 "," 3,195 "," 3,235 "," 3,200 "," 3,500 "," 3,190 "," 2,710 "," 37,520 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Diagnostic Ultrasonography ," 4,865 "," 5,065 "," 4,865 "," 5,275 "," 4,610 "," 4,595 "," 5,160 "," 4,460 "," 4,365 "," 5,125 "," 4,895 "," 3,330 "," 56,610 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Fluoroscopy , 295 , 415 , 335 , 390 , 265 , 345 , 385 , 335 , 300 , 325 , 270 , 255 ," 3,910 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Magnetic Resonance Imaging ," 1,345 "," 1,420 "," 1,445 "," 1,510 "," 1,390 "," 1,410 "," 1,500 "," 1,180 ", 965 ," 1,460 "," 1,275 "," 1,345 "," 16,240 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Nuclear Medicine Procedure , 155 , 130 , 180 , 200 , 200 , 170 , 180 , 145 , 140 , 160 , 155 , 125 ," 1,940 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Plain Radiography ," 13,975 "," 14,815 "," 14,235 "," 15,440 "," 13,355 "," 14,290 "," 14,785 "," 14,615 "," 14,050 "," 15,525 "," 14,195 "," 10,685 "," 169,960 "
 Y56 , RVR , Epsom and St Helier University Hospitals NHS Trust , Single Photon Emission Computerized Tomography , 95 , 90 , 80 , 105 , 125 , 75 , 100 , 115 , 85 , 115 , 80 , 95 ," 1,170 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Computerized Axial Tomography , 235 , 225 , 255 , 275 , 215 , 210 , 240 , 195 , 190 , 215 , 225 , 150 ," 2,630 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Diagnostic Ultrasonography ," 1,080 "," 1,015 ", 995 ," 1,120 ", 880 , 925 ," 1,000 "," 1,020 ", 920 ," 1,045 ", 995 , 720 ," 11,715 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Fluoroscopy , 310 , 220 , 260 , 265 , 250 , 285 , 275 , 280 , 230 , 265 , 225 , 195 ," 3,060 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Magnetic Resonance Imaging , 760 , 780 , 675 , 760 , 695 , 740 , 785 , 795 , 695 , 820 , 680 , 505 ," 8,690 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Nuclear Medicine Procedure , 95 , 90 , 105 , 100 , 105 , 110 , 100 , 100 , 55 , 135 , 95 , 55 ," 1,145 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Plain Radiography ," 1,985 "," 1,960 "," 1,975 "," 2,145 "," 1,800 "," 1,780 "," 1,895 "," 1,970 "," 1,725 "," 2,145 "," 1,875 "," 1,155 "," 22,415 "
 Y56 , RP4 , Great Ormond Street Hospital For Children NHS Foundation Trust , Single Photon Emission Computerized Tomography , 10 , 20 , 10 , 10 , 10 , 10 , 10 , 10 , 5 , 5 , 10 , 10 , 115 
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Computerized Axial Tomography ," 4,725 "," 5,240 "," 5,105 "," 5,495 "," 4,835 "," 4,995 "," 5,255 "," 5,115 "," 4,950 "," 5,475 "," 4,930 "," 3,835 "," 59,955 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Diagnostic Ultrasonography ," 7,295 "," 7,405 "," 7,380 "," 8,640 "," 7,465 "," 7,220 "," 8,200 "," 7,705 "," 6,895 "," 7,715 "," 7,095 "," 5,535 "," 88,550 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Fluoroscopy , 990 ," 1,100 "," 1,020 "," 1,140 "," 1,015 "," 1,030 "," 1,110 "," 1,040 ", 975 ," 1,165 "," 1,100 ", 800 ," 12,485 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Magnetic Resonance Imaging ," 4,050 "," 4,305 "," 4,350 "," 4,445 "," 3,945 "," 3,915 "," 4,390 "," 4,045 "," 3,770 "," 4,205 "," 3,690 "," 3,120 "," 48,230 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Nuclear Medicine Procedure , 620 , 555 , 540 , 590 , 540 , 595 , 615 , 535 , 430 , 545 , 580 , 410 ," 6,555 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Plain Radiography ," 21,725 "," 22,915 "," 21,895 "," 23,175 "," 20,980 "," 21,595 "," 23,820 "," 22,875 "," 20,295 "," 23,310 "," 21,380 "," 15,570 "," 259,535 "
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Positron Emission Tomography , 55 , 55 , 45 , 30 , 35 , 35 , 35 , 55 , 30 , 50 , 50 , 30 , 510 
 Y56 , RJ1 , Guy's and St Thomas' NHS Foundation Trust , Single Photon Emission Computerized Tomography , 60 , 55 , 50 , 55 , 55 , 55 , 55 , 60 , 50 , 45 , 60 , 30 , 635 
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Computerized Axial Tomography ," 2,270 "," 2,325 "," 2,225 "," 2,330 "," 2,280 "," 2,235 "," 2,430 "," 2,345 "," 2,340 "," 2,340 "," 2,005 "," 2,045 "," 27,170 "
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Diagnostic Ultrasonography ," 4,605 "," 4,665 "," 4,015 "," 4,980 "," 4,580 "," 4,245 "," 4,885 "," 4,495 "," 4,255 "," 4,585 "," 3,920 "," 2,845 "," 52,080 "
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Fluoroscopy , 170 , 225 , 175 , 225 , 215 , 200 , 220 , 200 , 195 , 175 , 165 , 135 ," 2,300 "
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Magnetic Resonance Imaging ," 1,480 "," 1,565 "," 1,420 "," 1,465 "," 1,565 "," 1,410 "," 1,485 "," 1,545 "," 1,470 "," 1,515 "," 1,390 "," 1,090 "," 17,400 "
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Nuclear Medicine Procedure , 45 , 65 , 45 , 55 , 35 , 55 , 50 , 50 , 30 , 50 , 50 , 35 , 565 
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Plain Radiography ," 8,790 "," 9,330 "," 8,155 "," 9,125 "," 8,350 "," 8,680 "," 9,275 "," 8,855 "," 8,515 "," 9,375 "," 7,370 "," 6,675 "," 102,490 "
 Y56 , RQX , Homerton University Hospital NHS Foundation Trust , Single Photon Emission Computerized Tomography , . , . , . , . , . , . , . , . , . , * , . , . , * 
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Computerized Axial Tomography ," 6,630 "," 7,250 "," 6,755 "," 7,470 "," 7,000 "," 7,170 "," 7,510 "," 7,065 "," 6,920 "," 5,475 "," 6,555 "," 5,250 "," 81,045 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Diagnostic Ultrasonography ," 8,305 "," 8,560 "," 8,320 "," 9,735 "," 7,975 "," 8,635 "," 9,485 "," 8,930 "," 7,780 "," 6,955 "," 8,760 "," 5,865 "," 99,310 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Fluoroscopy , 765 , 800 , 715 , 845 , 810 , 755 , 880 , 755 , 660 , 600 , 715 , 490 ," 8,795 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Magnetic Resonance Imaging ," 5,675 "," 6,020 "," 5,760 "," 5,910 "," 5,595 "," 5,720 "," 6,260 "," 6,055 "," 5,220 "," 4,045 "," 5,910 "," 4,245 "," 66,410 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Nuclear Medicine Procedure , 360 , 420 , 400 , 420 , 400 , 415 , 490 , 445 , 365 , 385 , 395 , 355 ," 4,855 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Plain Radiography ," 19,305 "," 18,820 "," 17,955 "," 19,720 "," 19,075 "," 18,375 "," 20,805 "," 18,870 "," 17,935 "," 13,310 "," 18,105 "," 13,165 "," 215,440 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Positron Emission Tomography , 230 , 315 , 275 , 325 , 305 , 300 , 365 , 335 , 315 , 340 , 350 , 290 ," 3,750 "
 Y56 , RYJ , Imperial College Healthcare NHS Trust , Single Photon Emission Computerized Tomography , 85 , 90 , 85 , 105 , 95 , 120 , 125 , 125 , 125 , 110 , 155 , 95 ," 1,320 "
 Y56 , NV1 , Inhealth Limited , Computerized Axial Tomography , . , . , . , . , . , * , * , . , . , . , . , . , * 
 Y56 , NV1 , Inhealth Limited , Diagnostic Ultrasonography ," 8,795 "," 8,490 "," 8,670 "," 9,285 "," 9,020 "," 9,100 "," 10,425 "," 9,160 "," 8,015 "," 6,880 "," 7,110 "," 6,905 "," 101,850 "
 Y56 , NV1 , Inhealth Limited , Magnetic Resonance Imaging ," 7,390 "," 7,370 "," 7,690 "," 8,040 "," 7,790 "," 7,430 "," 7,265 "," 6,770 "," 6,575 "," 5,985 "," 5,650 "," 5,660 "," 83,620 "
 Y56 , NV1 , Inhealth Limited , Plain Radiography , 425 , 410 , 425 , 370 , 310 , 360 , 375 , 345 , 310 , 345 , 370 , 190 ," 4,240 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Computerized Axial Tomography ," 6,975 "," 7,185 "," 7,370 "," 7,760 "," 7,370 "," 7,310 "," 8,075 "," 7,620 "," 7,285 "," 7,990 "," 7,495 "," 5,825 "," 88,265 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Diagnostic Ultrasonography ," 11,350 "," 11,785 "," 13,645 "," 15,545 "," 14,460 "," 14,445 "," 15,605 "," 14,885 "," 13,085 "," 14,765 "," 14,260 "," 9,600 "," 163,430 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Fluoroscopy , 770 , 820 , 735 , 940 ," 1,065 "," 1,065 ", 965 ," 1,120 ", 905 ," 1,080 "," 1,040 ", 775 ," 11,280 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Magnetic Resonance Imaging ," 2,735 "," 2,845 "," 3,690 "," 4,095 "," 3,995 "," 3,890 "," 4,195 "," 4,080 "," 3,700 "," 4,165 "," 3,935 "," 3,250 "," 44,580 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Nuclear Medicine Procedure , 375 , 410 , 390 , 435 , 475 , 440 , 490 , 470 , 350 , 495 , 405 , 310 ," 5,050 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Plain Radiography ," 23,705 "," 25,285 "," 24,220 "," 25,700 "," 23,805 "," 24,410 "," 25,935 "," 24,680 "," 23,615 "," 25,825 "," 23,545 "," 17,945 "," 288,670 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Positron Emission Tomography , 20 , 15 , 270 , 300 , 225 , 245 , 285 , 255 , 240 , 300 , 290 , 220 ," 2,665 "
 Y56 , RJZ , King's College Hospital NHS Foundation Trust , Single Photon Emission Computerized Tomography , 60 , 75 , 70 , 90 , 70 , 95 , 110 , 85 , 80 , 100 , 95 , 80 ," 1,000 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Computerized Axial Tomography ," 2,355 "," 2,485 "," 2,350 "," 2,525 "," 2,460 "," 2,620 "," 2,605 "," 2,575 "," 2,505 "," 2,695 "," 2,360 "," 2,055 "," 29,600 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Diagnostic Ultrasonography ," 4,315 "," 4,435 "," 4,050 "," 4,795 "," 4,435 "," 4,775 "," 5,375 "," 5,050 "," 4,730 "," 5,150 "," 4,675 "," 3,740 "," 55,525 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Fluoroscopy , 270 , 300 , 330 , 330 , 255 , 295 , 310 , 280 , 230 , 315 , 260 , 195 ," 3,365 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Magnetic Resonance Imaging ," 1,430 "," 1,635 "," 1,620 "," 1,835 "," 1,840 "," 1,725 "," 1,965 "," 1,820 "," 1,545 "," 1,700 "," 1,735 "," 1,405 "," 20,250 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Nuclear Medicine Procedure , 120 , 135 , 150 , 140 , 130 , 150 , 155 , 120 , 95 , 130 , 105 , 105 ," 1,535 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Plain Radiography ," 10,695 "," 11,215 "," 10,800 "," 11,510 "," 10,265 "," 10,985 "," 11,795 "," 11,370 "," 10,375 "," 11,855 "," 10,440 "," 7,865 "," 129,170 "
 Y56 , RAX , Kingston Hospital NHS Foundation Trust , Single Photon Emission Computerized Tomography , 10 , 15 , 10 , 5 , 10 , 10 , 10 , 5 , 10 , 15 , 15 , 15 , 125 
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Computerized Axial Tomography ," 1,890 "," 1,965 "," 1,940 "," 2,040 "," 1,885 "," 1,865 "," 2,040 "," 2,140 "," 2,090 "," 2,185 "," 1,920 "," 1,750 "," 23,700 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Diagnostic Ultrasonography ," 5,360 "," 5,640 "," 5,495 "," 5,870 "," 5,715 "," 5,665 "," 6,025 "," 5,720 "," 5,570 "," 6,275 "," 5,540 "," 4,780 "," 67,645 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Fluoroscopy , 200 , 240 , 225 , 240 , 245 , 225 , 225 , 225 , 195 , 220 , 205 , 205 ," 2,650 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Magnetic Resonance Imaging ," 1,345 "," 1,235 "," 1,270 "," 1,295 "," 1,200 "," 1,185 "," 1,335 "," 1,255 "," 1,265 "," 1,360 "," 1,305 "," 1,145 "," 15,190 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Nuclear Medicine Procedure , 135 , 145 , 115 , 150 , 135 , 145 , 155 , 125 , 110 , 145 , 120 , 115 ," 1,595 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Plain Radiography ," 8,065 "," 8,795 "," 8,455 "," 9,370 "," 8,615 "," 8,945 "," 9,340 "," 8,620 "," 8,270 "," 9,250 "," 8,245 "," 6,455 "," 102,430 "
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Positron Emission Tomography , . , . , . , * , . , . , . , . , . , . , . , . , * 
 Y56 , RJ2 , Lewisham and Greenwich NHS Trust , Single Photon Emission Computerized Tomography , 60 , 70 , 50 , 70 , 65 , 65 , 85 , 80 , 45 , 70 , 75 , 55 , 800 
 Y56 , R1K , London North West University Healthcare NHS Trust , Computerized Axial Tomography ," 4,970 "," 5,540 "," 5,530 "," 5,705 "," 5,035 "," 5,095 "," 5,460 "," 5,455 "," 5,035 "," 5,645 "," 5,025 "," 3,840 "," 62,330 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Diagnostic Ultrasonography ," 10,565 "," 11,515 "," 11,400 "," 11,985 "," 9,770 "," 10,165 "," 11,570 "," 11,910 "," 11,035 "," 11,775 "," 10,130 "," 7,120 "," 128,955 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Fluoroscopy , 725 , 730 , 685 , 760 , 705 , 725 , 805 , 685 , 690 , 805 , 670 , 540 ," 8,520 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Magnetic Resonance Imaging ," 2,370 "," 2,720 "," 2,735 "," 2,875 "," 2,740 "," 2,800 "," 2,995 "," 3,060 "," 2,775 "," 2,975 "," 2,750 "," 2,025 "," 32,820 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Nuclear Medicine Procedure , 190 , 170 , 145 , 160 , 180 , 150 , 175 , 215 , 135 , 180 , 185 , 115 ," 1,995 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Plain Radiography ," 24,800 "," 26,415 "," 24,615 "," 26,460 "," 23,510 "," 24,180 "," 25,470 "," 24,190 "," 22,960 "," 25,700 "," 22,950 "," 16,950 "," 288,200 "
 Y56 , R1K , London North West University Healthcare NHS Trust , Positron Emission Tomography , 5 , . , 5 , 10 , 5 , 5 , * , 5 , * , 5 , 5 , . , 35 
 Y56 , R1K , London North West University Healthcare NHS Trust , Single Photon Emission Computerized Tomography , 10 , . , 5 , 5 , 10 , 10 , 5 , 15 , 5 , * , 10 , 5 , 80 
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Computerized Axial Tomography , 125 , 140 , 100 , 125 , 110 , 120 , 110 , 130 , 100 , 90 , 115 , 75 ," 1,340 "
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Diagnostic Ultrasonography , 355 , 395 , 320 , 320 , 295 , 345 , 395 , 370 , 295 , 360 , 300 , 245 ," 3,995 "
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Fluoroscopy , 15 , 10 , 25 , 15 , 15 , 20 , 15 , 10 , * , 15 , 15 , 5 , 160 
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Magnetic Resonance Imaging , 240 , 310 , 235 , 305 , 275 , 295 , 375 , 365 , 230 , 290 , 375 , 245 ," 3,540 "
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Nuclear Medicine Procedure , 5 , 5 , 5 , * , 5 , 5 , 10 , 5 , * , 5 , 10 , . , 55 
 Y56 , RP6 , Moorfields Eye Hospital NHS Foundation Trust , Plain Radiography , 110 , 120 , 125 , 150 , 105 , 125 , 125 , 115 , 115 , 160 , 95 , 90 ," 1,435 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Computerized Axial Tomography ," 2,360 "," 2,380 "," 2,355 "," 2,490 "," 2,310 "," 2,420 "," 2,685 "," 2,605 "," 2,500 "," 2,695 "," 2,730 "," 2,055 "," 29,585 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Diagnostic Ultrasonography ," 3,260 "," 3,010 "," 2,850 "," 3,240 "," 3,095 "," 3,125 "," 3,210 "," 3,355 "," 3,130 "," 3,475 "," 3,190 "," 2,130 "," 37,070 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Fluoroscopy , 275 , 340 , 280 , 295 , 230 , 295 , 310 , 340 , 275 , 280 , 240 , 175 ," 3,340 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Magnetic Resonance Imaging , 890 , 885 , 900 , 915 , 805 , 845 , 940 , 880 , 875 , 925 , 970 , 745 ," 10,565 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Nuclear Medicine Procedure , 130 , 155 , 150 , 140 , 105 , 125 , 110 , 85 , 75 , 90 , 120 , 115 ," 1,410 "
 Y56 , RAP , North Middlesex University Hospital NHS Trust , Plain Radiography ," 9,615 "," 9,875 "," 9,295 "," 10,020 "," 8,920 "," 9,235 "," 9,765 "," 9,510 "," 9,055 "," 10,235 "," 8,925 "," 7,145 "," 111,590 "
